date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:37	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jul%202020%2004:13:37%20GMT	http://1bat.bunbohue.online/vietviet	S:/WinHTTrack/ASite/http___1bat.bunbohue.online_vietviet/1bat.bunbohue.online/vietviet.0.delayed	(from )
11:13:38	145580/145580	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2004:13:37%20GMT	https://1bat.bunbohue.online/vietviet	S:/WinHTTrack/ASite/http___1bat.bunbohue.online_vietviet/1bat.bunbohue.online/vietviet.html	(from )
11:13:39	22/22	---M--	200	added ('OK')	text/plain	date:Mon,%2013%20Jul%202020%2004:13:38%20GMT	https://1bat.bunbohue.online/robots.txt		(from )
11:13:39	150/150	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jul%202020%2004:13:39%20GMT	https://static.ladipage.net/5b80bae280c18044b11eada8/untitled-1-20191220170505.jpg	S:/WinHTTrack/ASite/http___1bat.bunbohue.online_vietviet/static.ladipage.net/5b80bae280c18044b11eada8/untitled-1-20191220170505.2.delayed	(from https://1bat.bunbohue.online/vietviet)
11:13:40	34141/34141	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2013%20Jul%202020%2004:13:39%20GMT	https://w.ladicdn.com:443/5b80bae280c18044b11eada8/untitled-1-20191220170505.jpg	S:/WinHTTrack/ASite/http___1bat.bunbohue.online_vietviet/w.ladicdn.com_443/5b80bae280c18044b11eada8/untitled-1-20191220170505.jpg	(from https://1bat.bunbohue.online/vietviet)
11:13:40	151071/151071	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Jul%202020%2004:13:39%20GMT	https://w.ladicdn.com/v2/source/ladipage.min.js?v=1594175749601	S:/WinHTTrack/ASite/http___1bat.bunbohue.online_vietviet/w.ladicdn.com/v2/source/ladipage.min8697.js	(from https://1bat.bunbohue.online/vietviet)
11:13:41	397968/397968	---MCZ	200	added ('OK')	image/png	date:Mon,%2013%20Jul%202020%2004:13:40%20GMT	https://w.ladicdn.com/s750x500/5af25e5079c3a9d6356a70ce/pd-20200316065706.png	S:/WinHTTrack/ASite/http___1bat.bunbohue.online_vietviet/w.ladicdn.com/s750x500/5af25e5079c3a9d6356a70ce/pd-20200316065706.png	(from https://1bat.bunbohue.online/vietviet)
11:13:42	580242/580242	---MCZ	200	added ('OK')	image/png	date:Mon,%2013%20Jul%202020%2004:13:40%20GMT	https://w.ladicdn.com/s600x550/5af25e5079c3a9d6356a70ce/mt-20200316070855.png	S:/WinHTTrack/ASite/http___1bat.bunbohue.online_vietviet/w.ladicdn.com/s600x550/5af25e5079c3a9d6356a70ce/mt-20200316070855.png	(from https://1bat.bunbohue.online/vietviet)
11:13:42	10342/10342	---MCZ	200	added ('OK')	image/png	date:Mon,%2013%20Jul%202020%2004:13:41%20GMT	https://w.ladicdn.com/s500x400/5af25e5079c3a9d6356a70ce/95-20200316072859.png	S:/WinHTTrack/ASite/http___1bat.bunbohue.online_vietviet/w.ladicdn.com/s500x400/5af25e5079c3a9d6356a70ce/95-20200316072859.png	(from https://1bat.bunbohue.online/vietviet)
11:13:42	369470/369470	---MCZ	200	added ('OK')	image/png	date:Mon,%2013%20Jul%202020%2004:13:41%20GMT	https://w.ladicdn.com/s750x600/5af25e5079c3a9d6356a70ce/xkm-20200316072720.png	S:/WinHTTrack/ASite/http___1bat.bunbohue.online_vietviet/w.ladicdn.com/s750x600/5af25e5079c3a9d6356a70ce/xkm-20200316072720.png	(from https://1bat.bunbohue.online/vietviet)
